row_id,job_id,resume_id,pool_source,pred_prob,claude_label,gpt_label,gemini_label,majority_label,agreement,is_unanimous,embedding_similarity,tfidf_similarity,skill_overlap,weighted_skill_score,num_missing_skills,avg_missing_skill_importance,years_of_experience,title_similarity,resume_category,job_position_title
1001,136,541,B_xcat,0.4552267215725742,0,0,0,0,3-0,True,0.5767188,0.07804141,0.0,0.0,5,4.3898253,0.0,0.3157945,ADVOCATE,Registered Nurse (RN)
1002,1,1352,A_mid,0.4854709005455856,0,0,0,0,3-0,True,0.46674523,0.03134639,1.0,1.0,0,0.0,0.0,0.4898538,AUTOMOBILE,Apple Solutions Consultant
1003,155,909,A_mid,0.4437107449991353,0,1,0,0,2-1,False,0.43920723,0.08831385,0.6666667,0.60296285,1,5.0,0.0,0.40497744,AGRICULTURE,College and Career Advisor - Cuyahoga County
1004,802,784,topK,0.5517238466303923,0,0,0,0,3-0,True,0.6913462,0.05548641,0.2,0.2,4,5.0,4.0,0.28742975,HEALTHCARE,"Vice President, Operations"
1005,364,1057,C_rand,0.478645688100331,1,0,1,1,2-1,False,0.5658656,0.051461037,0.0,0.0,1,5.0,0.0,0.49803016,SALES,"Sales Associate Totally Pagoda,Providence Place Mall"
1006,616,1247,C_rand,0.5807530811461342,0,0,0,0,3-0,True,0.6203433,0.09206716,0.125,0.1311423,7,4.7323604,0.0,0.38718426,DIGITAL-MEDIA,Program Coordinator - Adult And Community Education
1007,183,896,B_xcat,0.4473660398392464,0,0,0,0,3-0,True,0.5008416,0.09685922,0.2,0.20833333,4,4.75,20.0,0.1770784,FITNESS,Financial Professional – Financial / Insurance – Entry Level
1008,258,81,topK,0.546655808073292,0,0,0,0,3-0,True,0.5624306,0.06312362,0.6666667,0.7692308,1,3.0,6.0,0.30549824,HR,Customer Service Representative
1009,170,2467,topK,0.4738387342214251,1,1,1,1,3-0,True,0.4065474,0.044012148,0.0,0.0,0,0.0,0.0,0.5852626,AVIATION,Inventory Clerk
1010,545,2048,A_mid,0.5105871730766127,1,1,0,1,2-1,False,0.47872478,0.120941885,0.6363636,0.6603774,4,4.5,0.0,0.22711983,PUBLIC-RELATIONS,Digital Marketing Internship at EdTech Start-up
1011,537,299,B_xcat,0.4706473156681312,0,1,0,0,2-1,False,0.5746159,0.09851398,0.125,0.14401004,7,4.245686,20.0,0.08815546,INFORMATION-TECHNOLOGY,Full-Cycle Recruiter (Remote)
1012,606,2152,topK,0.477754763059218,0,1,0,0,2-1,False,0.6254634,0.08164108,0.25,0.22542784,9,5.0,0.0,0.4232896,BANKING,Equity Research Associate - Biotechnology
1013,661,1292,topK,0.5323195148772252,0,0,0,0,3-0,True,0.7171855,0.053037647,0.16666667,0.1724138,5,4.8,0.0,0.26806724,DIGITAL-MEDIA,Admin/Clerical Recruiter
1014,386,1224,B_xcat,0.466748621554963,0,0,0,0,3-0,True,0.6259534,0.072990544,0.22222222,0.2431521,7,4.4466457,15.0,0.2356756,CONSULTANT,Medical Case Manager - (Remote)
1015,296,9,topK,0.5799740133507076,1,0,1,1,2-1,False,0.5169796,0.025403356,0.0,0.0,0,0.0,0.0,0.5886626,HR,Data Entry Clerk
1016,832,952,topK,0.5097348296608334,0,0,0,0,3-0,True,0.6641113,0.05424946,0.0,0.0,5,4.518656,0.0,0.37747005,AGRICULTURE,"Equity Research Associate, Biotech"
1017,23,1178,B_xcat,0.5442573158053996,0,1,0,0,2-1,False,0.5829628,0.07261767,0.0,0.0,2,5.0,5.0,0.3449636,CONSULTANT,Chief Executive Officer - Healthcare - Columbus
1018,846,2081,topK,0.5902868274161399,1,1,0,1,2-1,False,0.54871744,0.087389916,0.0,0.0,1,5.0,0.0,0.36352313,PUBLIC-RELATIONS,Marketing Intern
1019,574,281,B_xcat,0.5413949694153576,0,0,0,0,3-0,True,0.55544275,0.06612383,0.33333334,0.3409838,4,3.926513,18.0,0.4171254,INFORMATION-TECHNOLOGY, Construction Project Manager
