row_id,label
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,1
412,1
413,0
414,1
415,1
416,0
417,0
418,1
419,1
420,0
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,1
458,1
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,0
480,1
481,0
482,1
483,0
484,1
485,0
486,1
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,0
499,0
500,0
