row_id,label
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,1
200,1
