row_id,job_position_title,resume_text,job_description
101,Retail Floor Leader - Anthem,"STAFF ACCOUNTANT         Summary     Flexible Accountant who adapts seamlessly to constantly evolving accounting processes and technologies.       Highlights          10 years of practical accounting experience  Prior Management experience      Full lifecycle implementation  Prior experience using MS Excel, JD Edwards, QuickBooks, AX, and RFMS on an expert level            Experience      Company Name     January 2016   to   Current     Staff Accountant   City  ,   State      Involvement with month-end closing process   Prepare and reconcile full cycle monthly financial statements for selected entities, including supporting schedules, equity roll forward, cash flows, taxes, budget variance reports, and other management reports, as needed.  Make all necessary recurring and correcting entries.  Review financial projections versus actual results and report on variances.  Support all financial audits and examinations   Assist in preparation of the balance sheet and other reports to summarize and interpret current and projected company financial position   Participate in developing accounting controls and risk management strategies   Resolve requests in a timely manner, demonstrating a high level of commitment to meeting requirements within the provided guidelines   Prepare the monthly reporting packages, including analysis of current actual results to prior period actual results for use in internal and external reporting.          Company Name     February 2012   to   August 2015     Accounting Manager/ JDE Business Analyst   City  ,   State      Oversee entire receivable functions to include job costing, billing, aging, collections, resolution of billing discrepancies   Supervise and manage the workflow of assigned staff (approximately 12 employees) to ensure the timely and accurate preparation and review of accounting transactions and reports  Provide analysis and interpretation of accounting issues to ensure compliance with GAAP and support the decision making Interf [...]","job description
company description

now trending careers at skechers

starting pay 

join our global family of innovators who make an incredible impact every day at one of the biggest footwear brands in the world whether you love to connect with consumers on the retail floor or want to drive our awardwinning organization in new directions behind the scenes the skechers team is the place to be learn more about our brand at aboutskecherscom
job description

our floor leaders could also be known as the stores mvps they serve as experts in our stores driving operational and sales performance and ensuring a topnotch experience for our guests wellversed in our product routines these key players ensure the store looks awardwinning every day while not a management position the floor leader does hold keys to the store and performs opening or closing duties as assigned and is a mentor to other associates looking to grow their careers in retail

conducts opening and closing operational routines as needed ensuring a successful start or completion of the stores daily business

executes detailed comprehensive stock and product management routines including processing shipment and completing markdowns merchandising replenishment and fulfilling online orders

welcomes guests and assists with finding their perfect pair accessories or apparel

keeps an overview to daily operations and troubleshoots any concerns with transactions and store routines

li
qualifications

something about retail sp [...]"
102,Senior Corporate Recruiter (Contract) - (Remote - US),"PERSONAL STYLIST- WOMEN'S DESIGNER       Summary      Eager to work in a fast-paced customer focused  environment driven to expand sales volume by utilizing developing technology. Proficient at understanding client needs and collaborating on a creative vision to exceed expectations and deliver results conducive to cultivating relationships and growing business.        Skills     Microsoft Office: Word  PowerPoint  Excel       Experience      Personal Stylist- Women's Designer   05/2014   to   02/2017     Company Name   City  ,   State     Leverages knowledge of design and brands to create a personalized experience to individual clients based on dressing concerns.  Nurtures relationships by creating impactful appointments accompanied by planned follow-ups. Effectively time manages consultations with future clients while servicing those within the store. Utilizes internal digital application wardrobing clients on their terms. Implements communication templates via text and email regarding selling campaigns and customer rewards incentive programs.  Integrates tools to improve customer retention and achieve significant level of designer selling volume.        Sales Associate- via C department   02/2010   to   05/2014     Company Name   City  ,   State     Relocated personal clientele to a competitive top volume door. Profited in business development in an elevated women's designer department. Effectively time managed customer service to create a personalized experience while maximizing sales volume. Regularly attended product knowledge seminars allowing delivery of service at the highest level. Initiated conversations with management when unexpected problems arose to ensure future success amongst the team and client relationships.        Sales Associate, Savvy department   06/2006   to   02/2010     Company Name   City  ,   State     Successfully assisted customers in choosing outfits that were consistent with needs and budget. Developed relationships to offer value to [...]","disqo is changing the way that the worlds largest brands agencies and consumer intelligence companies get to know their consumers weve built the first identitybased platform that combines consumer attitudes and behaviors together to power the most accurate and predictive insights solutions for our customers and we do all of that with the willing participation of our consumers and without using outdated technologies like thirdparty cookies we help our customers get a crossplatform view into consumer sentiment measure advertising effectiveness analyze consumer purchase journeys and ultimately grow their brands

our mission is to build the most trusted insights platform that fuels brand growth with over one million active members sharing their attitudes and behaviors disqo is looking to expand improve and create worldclass applications for people to openly share their data for research

hiring great technical talent is critical to the success of any company disqo is looking for an experienced contract senior corporate recruiter to build and execute against recruiting strategies act as a talent advisor and thought leader to our business partners and offer great experience to candidates and hiring managers

as a contract recruiter you will lead recruitment efforts to identify uniquely accomplished individuals to guide us forward you will be responsible for building strategies to engage and build relationships with worldclass talent within the software engineering communities throu [...]"
103,"Retail Sales Associate - Furniture​/Mattresses, Quaker Bridge Mall...","SALES COORDINATOR       Summary     Dedicated Sales Coordinator with 5+ years experience in the sales environment. Looking to obtain a management position, in which I am given the opportunity to play a direct role in the unlimited growth and success of the company        Summary of Qualifications          Exceptional customer service skills       Ability to
multi-task, prioritize and manage time effectively     Detail oriented                  A team player
with high level of dedication       Excellent communication skills  Strong interpersonal skills  Great  verbal and written skills   Social media savvy    Bilingual in  French             Experience      Sales Coordinator     Apr 2017   to   Current      Company Name   －   City  ,   State     Respond to sales calls and leads.  Work closely with sales managers/directors in regards to upcoming groups and events.  Create and build new leads into ISAC.  Generate new contracts for future groups/events  Conduct site visits of the property when needed.  Generate, edit, publish on company's social media platform  Create and print hotel collaterals  Assist and provide excellent customer service to clients prior, during and post event.         Sales Coordinator     Apr 2014   to   Feb 2017      Company Name   －   City  ,   State     Assisted sales team with daily administrative duties.  Drafted sales contracts and addendum for future events.  Assisted clients with sales related inquiries via phone and email.  Processed sales invoices and commission.  Ordered office supplies for the department.  Assign new leads to appropriates sales manager based on Market Segment          Lead Concierge     Jun 2012   to   Sep 2014      Company Name   －   City  ,   State     Delivered superior customer service to residents and guests.  Managed and resolve customer complaints.  Created and manage monthly community calendar.  Supervised and train concierge staff.  Handled resident packages.  Managed resident reservations
.         Education [...]","location lawrence township
macys inc

  as a retail sales associate at macys youll
assist customers in all aspects of service fulfillment
determine customer needs based on personal features and other customer preference related factors
demonstrate knowledge of store products and services to build sales and minimize returns
perform sales support functions related to pos procedures"
104,Marketing Advisor,"FINANCE           Summary     Finance focal driven to improve morale, decrease turnover and improve productivity. Background in leadership development, training, and strategic thinking.       Highlights          Exceptional interpersonal skills  Employee relations  Training and development  Data analysis      Predictive planning  Public speaking  Budget planning            Experience      Finance    July 2008   to   October 2015     Company Name   －   City  ,   State     Held various Finance and Project Management related roles including:    Integrated Scheduling  Contracts  Business Partner   Advised managers on program specific matters and recommend needed changes.  Developed metrics to reduce risk.  Directed personnel training activities.  Served as a link between management and employees by handling questions, interpreting and executing program requirements, and helping resolve work-related problems.         Adjunct Professor    August 2013   to   Current     Company Name   －   City  ,   State      Conducted adult learner leadership courses to foster positive attitude toward organizational leadership.  Presented leadership and human behavior material.  Coordinated material to meet student needs and goals.          Human Resource Generalist Intern    July 2014   to   March 2015     Company Name   －   City  ,   State      Served as a link between management and employees by handling questions and helping resolve work-related problems.  Advised managers on organizational policy matters and recommend needed changes.  Directed job description development to maximize maneuverability of personnel.          Education      Doctor of Philosophy   :   Organizational Leadership  ,   2013    The Chicago School of Professional Psychology   －   City  ,   State       Organizational Leadership Dissertation: The Workplace Impact of Baby Boomers and Millennials Work/Life Balance Perceptions on their Attitudes and Behaviors - Successfully defended March 1, 2013          Master of A [...]","at compass we envision a world where the experience of selling or buying a home is simple and pleasant for everyone founded in  compass provides an endtoend platform that empowers residential real estate agents to deliver exceptional service to their seller and buyer clients all in service of our mission to help everyone find their place in the world

team overview

compass seeks a marketing advisor based in new york to join the team that shapes all of our agents marketing and branding projects from concepts and development through implementation and tracking at compass our agents are our brand and vice versa when their marketing excels then our company does this team provides vital account services and strategy to our agents to help their marketing efforts be the best they can be

you will work collaboratively with the industries best inhouse marketing  creative team as well as key external vendors to execute a wide variety of initiatives and help ensure cohesion between the compass brand and the marketingadvertising deliverables of our agents you will serve as a consultant to the agents to elevate the effectiveness of their individual efforts while playing a key role on the team refining and improving agent marketing tools developed inhouse as well as all policies processes strategies and best practices that inform our nationwide practice

at compass you will
 consult with agents daily to identify their marketing needs and help them execute tactics to deliver on those needs [...]"
105,Data Analyst Manager,"MARKETING & COMMUNICATIONS EXECUTIVE       Executive Profile      Creative leader  offering rich career experience in corporate communications for domestic and global brands and strategic communications for use on social media, internal operations, and multi-media production. Successfully communicates brand messages to impressive heights through story-telling; key to transforming ideas into realities.      Achievements include  product penetration, brand recognition and value, brand and image awareness, visual communications, and public relations campaign management/execution. Recognized skills in content development, project planning/management, multi-million-dollar budget oversight, business development, advertising, and agency management.       Skill Highlights          Persuasive Leader  Skilled Negotiator  Brand Champion   Revenue Generator  Communications  Branding  Strategic Planning  Operations         Social Media Marketing  Digital Production  Budgeting  Project Planning & Execution  Business Development Support  Customer Service  Leadership  Sales            Core Accomplishments      Capitalize on story-telling talents  and visionary approach to communicate corporate accomplishments across all media including success in global media platforms such as YouTube, Twitter, Facebook, LinkedIn, Instagram, Vimeo, and Tumblr    Principal player  that navigated Robert Redford's Sundance TV from conceptualization through launch. Collaborated with television and feature film producers and distributors, cemented 12+ national partnerships, and spearheaded public relations and corporate communications campaigns that garnered global coverage. Developed communication positioning that boosted entity from a premium-only subscriber base to recognition as a vital entertainment channel    Contributed to millions of dollars  in sales by architecting awareness and communications strategies for the issue or re-issue of Disney films such as “Cinderella,” “Jungle Book II,” “Annie,” [...]","_data analyst manager will be defining and managing data models and data dictionaries to support data and analytics platforms_
_email resume and a summary of your relevant experience to madisonhaberl  michaelpageuscom
_mpi does not discriminate on the basis of race color religion sex sexual orientation gender identity or expression national origin age disability veteran status marital status or based on an individuals status in any group or class protected by applicable federal state or local law mpi encourages applications from minorities women the disabled protected veterans and all other qualified applicants_
_data analyst manager must_
  yoes in data management analytics and transformation_
 sqlpython_
 financial services background_
_email resume and a summary of your relevant experience to madisonhaberl  michaelpageuscom_
_a leading fintech company_
_email resume and a summary of your relevant experience to madisonhaberl  michaelpageuscom_
compensation is competitive and based upon experience
_email resume and a summary of your relevant experience to madisonhaberl  michaelpageuscom_
associated topics chief program officer cpo manage manager management monitor product manager project manager relationship manager task"
106,Chief Executive Officer,"OPERATIONS FINANCE DIRECTOR       Summary     Skilled financial professional with over twenty years of financial services industry and fifteen years of practical management experience.Highly detail-oriented and organized. Areas of expertise include conflict management, customer service, marketing and client interface. Advanced training in risk assessments, management controls and audit planning.  ​  ​       Highlights          Customer service  Schedule management   Project management     Strategic and financial planning expert     Mergers and acquisitions knowledge       Negotiations, risk mitigation          Exceptional customer service skills           Microsoft Office proficiency  Proficient in Concur, Workday, Kronos  Excel spreadsheets/SQL  SOX, DOJ, Audit experience  Cost reduction and containment  Staff leadership and development  Superior organization skills            Accomplishments      Reduced capital spending by 35 % per year as the leader of a cross-functional trading floor teams in San Francisco and New York.  Head of Business Continuity for NYSE-SF and NYSE-NY.  Recognized for achieving flawless audit scores from both NYSE Regulation, Securities and Exchange Commission and FINRA.  Authored and published trading floor rule filings for NYSE- SF and NYSE-Amex- 2008-2013.  Launched the Amex Trading Floor-NY in 2008-2009, hired all trading floor staff.  Authored all trading floor employee procedures, manuals, and company policies for both NYSE-SF and NYSE-Amex.  In charge of streamlining staffing levels for three mergers 2005-2010.  Started NYSE Annual Community Volunteer Program 2010.        Experience      Operations Finance Director     Jan 2016   to   Current      Company Name   －   City  ,   State    Planned and executed operational audits of various business areas using risk-based audit methodology.  Created executive analysis reports highlighting business issues, potential risks and profit opportunities. Developed and implemented efficient account [...]","reporting to the board of directors the ceo is responsible for the overall vision and strategy of the ywca columbus further the ceo oversees all aspects of facilities and programs and works in concert with the leadership team to guide the organization the ceo is a proven leader and advocates for eliminating racism promoting social justice empowering women eliminating homelessness and promoting affordable housing

the ceo partners and engages with the board of directors to create and execute the strategic direction for

 the organizations growth

 developing maintaining key community partnerships

 directing the fundraising strategy and engaging with major donors ensuring that the organization has adequate resources to support its work

qualifications

 a minimum of five years of senior executive leadership preferably in an organization committed to homelessness social justice community engagement or social services

 commitment to and passion for the ywca columbus twofold mission  eliminating racism and empowering women demonstrated experience or leadership in homelessness racial justice and other components of the ywca columbus mission

 politically savvy with superior presentation public speaking interpersonal relationship management persuasiveness negotiation diplomacy influencing and listening skills

 ability to manage complex business models with experience and comfort leading and driving business model change amid macroeconomicexternal forces and pressure eg health and [...]"
107,"Sr. Manager, Customer Experience Center Business Process","CUSTOMER SERVICE REPRESENTATIVE         Summary    A dependable, quality-focused specialist seeking an opportunity that offers a variety of challenges and responsibilities that would allow myself to contribute towards an organization while improving my leadership and technical skills. Exceptional talent for accuracy analyzing, projecting conflict and resolving issues. Continually providing input or solutions in problem solving on operational issues or procedures and perform administrative follow-up.      Skills          Able to demonstrate exceptional communication
skills, able to maintain effective and efficient communication within a team
environment.   Skillful initiation in organizing and
coordinating team meetings to manage and planned performance adherence.   Exceptional talent for accuracy analyzing,
projecting conflict and resolving issues. Continually providing input or
solutions in problem solving on operational issues or procedures and perform
administrative follow-up.

      Strong leader with
proven development abilities, capable of clearly presenting ideas, plans and
strategies to all levels of management.   Solid background in setting priorities and
deadlines, adjusting the flow and sequencing of the work to meet team needs.

            Experience      Company Name    City  ,   State    Customer Service Representative   10/2016   to   Current       Respond to and resolve customer service inquiries and issues by identifying the topic and type assistance the caller needs such as benefits, eligibility, claims, financial spending accounts and correspondence.  Help guide and educate customers about the fundamentals and benefits of consumer-driven health care topics to include managing their health and well-being by selecting the best benefit plan options, maximizing the value of their health plan benefits and choosing a quality care provider.  Intervene with care providers (doctor's office) on behalf of the customer to assist with appointment scheduling o [...]","dreaming big is in our dna brewing the worlds most loved beers and creating meaningful experiences is what inspires us we are owners empowered to lead real change deliver on tough challenges and take accountability for the results we are looking for talent that shares these values that is ambitious bold  resilient we want talent that is looking for fast career growth crossfunctional experiences global exposure and robust training  development

salary   

location st louis

company

budweiser bud light stella artois michelob ultra thats right over  of americas most loved brands to be exact but theres so much more to us than our topnotch portfolio of beers seltzers and more we believe our people are our greatest asset and were looking for people like you to join our shared dream and purpose we dream big to create a future with more cheers are you up for the challenge

role summary

dreaming big is in our dna brewing the worlds most loved beers and creating meaningful experiences is what inspires us we are owners empowered to lead real change deliver on tough challenges and take accountability for the results we are looking for talent that shares these values that is ambitious bold  resilient we want talent that is looking for fast career growth crossfunctional experiences global exposure and robust training  development

job responsibilities
 be responsible for planning overseeing and leading projects from ideation through tocompletionidentify good opportunity of knowledge and [...]"
108,Equity Research Associate - Biotechnology,"CONSTRUCTION INSPECTOR           Professional Summary    Result-Driven Certified Construction Manager in Training with over 2 years of significant and progressive experience in construction industry. Proven track record in ensuring project deliverables are brought to market in a timely manner.
*Strong team leader with proven managerial experience and skills cross functional terms including Subcontractors, Vendors and Suppliers.
*Effective problem solver and decision making skills, exceptional commitment to quality and customer satisfaction. Excellent presentation/ Communication, negotiation and persuasion skills.      Core Qualifications          Primavera P6  Digitizer  Site safety/OSHA compliance  Microsoft Project  Plan Swift 9  QA/QC/Field Engineering  AutoCAD  Revit (BIM)  Micro station V8i  Microsoft office  Report Writing  Interpersonal/Communication              Experience      Construction Inspector    November 2015   to   Current     Company Name   －   City  ,   State      Provided quality assurance services by performing on-site inspections of material and workmanship as well as performed material testing in accordance to the American Society for Testing and Material (ASTM) manuals for reinforcing bars as well as concrete.  Performed inspections on epoxy Anchor/Dowels and concrete field technician duties (Slump test, Temperature, Air content and Concrete sampling).  Tested and inspected construction material, placement and foundation work.  Performed reinforcing steel inspections to ensure rebar meets requirements of approved drawings.  Performed in-place density tests on various types of soil to determine compaction and moisture content.  Established onsite solutions to unforeseen issues found in the field.  Performed proctor, sieve and compressive strength tests with senior technician in laboratory.  Performed timely inspections reports to engineers and project manager to ensure work meets requirements set by the proper design authority for each specifi [...]","equity research associate  biotechnology  
description
 
jefferies group llc the largest independent global fullservice investment banking and capital markets firm headquartered in the us focused on serving clients for  years is a leader in providing insight expertise and execution to investors companies and governments we offer deep sector expertise across a full range of products and services in investment banking equities fixed income asset and wealth management in the americas europe and the middle east and asia jefferies group llc is a wholly owned subsidiary of jefferies financial group inc nyse jef a diversified financial services company 
 
overview  
jefferies is seeking an equity research associate to support the senior equity research analysts healthcare coverage with a focus on smallmid cap biotech companies the position is ideal for someone with life sciences and finance background who has an interest in public markets and biotech investing
 
 
responsibilities  
conducting proprietary research evaluating drug pipelines by analyzing scientific literature attending medical conferences and speaking with key opinion leadersbuilding and maintaining financial modelswriting research reports for initiations of coverage analysis of data and industrycompany newsconceiving and executing on differentiated project ideasinterfacing with company management teams internal sales and trading personnel and institutional investors 
qualifications
 
qualifications  
minimum babs deg [...]"
109,Sales Executive Richmond Hotel,"FINANCE DIRECTOR       Summary    Seasoned professional accountant with extensive experience in financial accounting in both private and public sector entities.  Recruited to multiple positions to restructure/reorganize/revitalize non-performing teams.       Skills    Accounting, General Accounting,  Acquisitions, Budgeting, Controller, Cost Analysis and Analytical Reporting, Credit, Facilities Management, Finance, Financial Reporting, Forecasting, Governmental Accounting, Human Resource, inventory, Leadership, Negotiations, Processes, Sarbanes-Oxley      Experience     02/2012   to   Current     Finance Director    Company Name   －   City  ,   State      Responsible for Accounting & Finance functions including management of IT outsourcing vendor for $20 million government entity.  Moved IT function to outsourced vendor vs. full-time employee, saving $34,000 in salary plus benefits and pension costs.  Developed monthly financial reporting to all department heads & elected officials, budgeting processing, account reconciliations.  Compile audit workpapers and manage audit process with external audit firm.  Audit adjustments reduced from historic trend of 100 adjustments to 3 in audit most recently completed FY'16.  Support County Negotiations Committee in union negotiations for FOP and AFSCME contracts with cost analysis and competitive salary and benefit information.  Analyzed pension plans and educated County Board on interest cost of ECO plan. As a result, Board increased pension levy pension and plan funding increased from 80% to 93%, 53% to 85% and 0% to 94% during this period. Interest savings to Iroquois County taxpayers during this period is $245,000.         01/2009   to   01/2012     Director of Finance & Human Resources    Company Name   －   City  ,   State      First Human Resource & Accounting professional hired by 19 year old fitness equipment sales & repair company.  Developed standard monthly financial reporting, budgeting and forecasting processes, a [...]","job number job category sales  marketinglocation southern region florida sales  nw  court miami florida united states

brand marriott international inc schedule fulltimerelocation nposition type managementlocated remotely y marriott international is the worlds largest hotel company with more brands more hotels and more opportunities for associates to grow and succeed

we believe a great career is a journey of discovery and exploration so we ask where will your journey take youjob summary drives revenue to achieve hotels topline goals for each of their represented hotels by proactively soliciting all business segments to include new business from small business accounts sourcing new accounts identifying new targets and resoliciting past business leads

focuses on properties bt pricing strategy provides property support by coordinating and executing property internal mining efforts at assigned hotels partners with leadership to ensure competitive sales strategies are in place for the hotel and stay competitive within the market by aligning on sales activities to generate business and communicate real time competitor intel

reports directly to property sales leader asl or dosdosm and works closely with the hotel general managers focuses on sales driven tasks may work with local sales and us account salesgso teams to drive production from targeted high priority accounts including maximizing special corporate business within the represented market place candidate profile

educatio [...]"
110,Executive Assistant,"COLLEGE ASSISTANT       Summary     Professional leader with strong emphasis on management initiatives, focused on developing comprehensive family and child-related programs and services. Goal-oriented professional with strong leadership capabilities.   Detail-oriented exhibiting excellent communication, building networks, problem solving and strategic planning skills.  Exceeding deadlines, and managing multiple projects on time and budget without compromising quality.  Passionate about helping others.              Skills          Strong leadership   Analytical & problem solving  Adaptability, teamwork & communication   Program management,   Family and children's programs knowledge     Exemplary people management skills       Exceptional communication skills         HIPAA guidelines           Microsoft- word, excel, power point, access, outlook  Google Docs, google Sheets  Research   SPSS Statistic Software   SAP Accounting Software             Work History      Program Manager     07/2009       Company Name   City  ,   State             Coding Compliance Auditor     03/2011   to   11/2011     Company Name   City  ,   State             Experience      College Assistant   10/2013   to   02/2014     Company Name   City  ,   State          Explained program offerings and requirements to parents and students and answered related questions.    Recruited high school students in the community and registered them into Baruch College's College Now program which provided students with a great opportunity to earn college credits while in high school.  Coordinated and assisted in the recruitment and retention initiatives that increased recruitment by 50% for the spring 2014 semester.  Organized and developed strategies for students and parents involvement to encourage success in the program.            Collaborated with representative(s) from both our partner and prospective schools on our enrichment programs for college preparation.  Collectively worked as a team with the Dire [...]","i realize the salary is less than desired you may be able to negotiate i still wanted to share it with you due to your education background

qualifications
microsoft excel  year preferredmicrosoft powerpoint  year preferredus work authorization preferred
benefits
pulled from the full job description
b
dental insurance
flexible spending account
health insurance
health savings account
retirement plan
show  more benefit
full job description
job posting executive assistant
position fulltime mostly remote
reports to executive director
history
morningside center was founded in  by educators who saw that young people were the key to a future without war and hatred the organization then called educators for social responsibility metro began working in collaboration with new york city public schools using engaging and interactive techniques to help both students and educators learn skills ranging from active listening to respecting differences to peer mediation we developed new approaches and curricula aimed at fostering a supportive and equitable classroom and school community where these skills could be both learned and practiced
since then morningside center has become a national leader in the fields of social and emotional learning sel and restorative practices weve partnered with hundreds of schools throughout nyc and nationally to develop and research innovative and engaging prek programs including the  c squad building belonging  and our paz afterschool program
through the year [...]"
