row_id,label
301,0
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
