row_id,job_position_title,resume_text,job_description
1101,Remote Patient Advocate Specialist,"STAFF ACCOUNTANT       Summary    EXPERIENCED ACCOUNTANT with more than 15 years of accounting and financial analysis experience.  Expertise in budgeting and economic analysis, financial reporting, and resource analysis/optimization. Solid record of performance managing analytical studies, key initiatives, and high-profile performance improvement projects. Technical expert and analyst on complex program issues. Solid critical thinking, problem-solving, research and liaison skills. Recognized for outstanding communication skills, flexibility, keen political savvy, sense of humor, and leadership abilities.  
AREAS OF EXPERTISE:  Accounting; financial analysis; program evaluation and management; strategic and operations planning and streamlining; operations management; workforce analysis and manpower planning; operational, financial, and compliance auditing; profit/revenue analysis; internal control reviews; process improvement and simplification; team and project leadership; quantitative/qualitative analysis; risk and feasibility assessment and management; database management; statistical analysis; technical, regulatory and best practices research;      Skills        Lawson, Invision, QuickBooks, MS Word, Excel, PowerPoint, Lotus Notes, and Meditech            Experience     01/2001   to   02/2011     STAFF ACCOUNTANT    Company Name   －   City        40 hours/week, 
ANALYZED FINANCIAL REPORTS AND PROGRAMS TO RESOLVE PROBLEMS.  Formatted and prepare internal financial reports for various entities.  Monitored and researched significant revenue and budget variances, including actual costs versus budgeted costs, recommending alternative courses of action.  Resolved complex issues involving multiple aspects of financial management.  Reviewed policies and principles to plan and develop financial controls and made changes and additions to cost allocation codes.  ANALYZED AND RECONCILED A VARIETY OF ACCOUNTS AND TRANSACTIONS:  Monitored, reconciled, researched, analyzed and [...]","fulltime entry level  great way to get hands on experience plenty of opportunities for growth within

location remote in morehead ky  working onsite at a medical facility as needed

hours mondayfriday 

medical screenings  vaccinations required for position

we are a leading provider of transformational outsourcing solutions and services spanning the customer lifecycle across the healthcare industry

at firstsource solutions usa llc our employees are there for the moments that matter for customers as they navigate some of the biggest most challenging nerveracking and rewarding decisions of their lives

dealing with healthcare challenges is hard enough but the added burden of not knowing how much that care will cost or having a means to pay for it often creates additional stress and anxiety its times like these when our teams are there to help guide these patients and their families through the complex eligibility and payment process

at firstsource solutions usa llc we take the burden away from the patient and their family allowing them to focus on their health when they need to most afterwards we work with patients to identify insurance eligibility help them navigate their financial responsibilities and introduce ways to achieve financial wellbeing through payment arrangement options

our firstsource solutions usa llc teams are with patients all the way providing support and assistance all the while seeing firsthand the positive impact of their work through the emotions of r [...]"
1102,Entry-Level Commercial Real Estate Agent,"GRANTS MANAGER           Summary     Finance professional successful in not-for-profit and for-profit organizations wanting to resume career after meeting personal goals and obtaining unrestricted work authorization.        Skills     Accounting, administration, preparing trial balance, balance sheet analysis, bank reconciliation, billing, budgeting, forecasting cash flows, cash management services, contracts, credit risk, due diligence, financial analysis and modeling, financial reporting, financial statement analysis, general ledger, government grant proposals, inventory management, investment Banking, invoicing, accounts payables, accounts receivables, legal issues, risk analysis, investment valuation.        Experience              Grants Manager    December 2009   to   July 2014     Company Name   －   City  ,   State      Perform due diligence on potential grant opportunities and monitor current funds portfolio.  This included reading all government updates on healthcare research funding, related financial matters and audits.  Worked as an integral person in all facets of financial administration in a small team with a culture of inclusion.  Have been appreciated and respected for my hard working skills and eagerness to learn.  Having worked with some of the best researchers in the healthcare field, I have had to wear multiple hats and work with tight deadlines.  Specialized in preparing grant proposals for both federal and non-federal sponsors that included various grants mechanisms, Clinical Trails, Research Contracts and IPAs.  Held a key role in pulling together and maintaining a large and complex international grant that involved 21 sites (domestic and international).  This role enabled me to become an excellent team player.  Managed all post-award administration for all types of sponsored research projects including, subaccounts, budgeting, creating purchase orders, invoicing, monitoring, expense processing and reconciliation, financial reporting, IRB, OM [...]","marcus  millichap is the industrys largest firm specializing in real estate investment sales and financing as well as a leading source of research and advisory services as leaders in commercial brokerage we are continuing to build our investment sales team across multiple product types multifamily retail netleased office industrial hospitality selfstorage etc

despite everything that is going on right now we are still actively hiring the brooklyn office is undergoing an expansion and we are seeking upcoming or recent college graduates who are driven and entrepreneurial to join our investment sales team as an entrylevel commercial real estate agent

this handson training combined with realworld experience will allow you to
 springboard your career into a successful commercial real estate agent
 quickly become an integral part of a team working on an active pipeline of deals while developing your own book of business
 be mentored by a senior agent who will teach you every aspect of marcus  millichaps brokerage continuum

this is a  commission sales position we offer significant earning potential to candidates who are entrepreneurial motivated eager to get on the phone ready to learn and ready to earn through our unparalleled training and mentorship program you will master the art of real estate sales while working with amazing people in a dynamic culture sales experience is appreciated but not necessary coachability is required

this is a unique opportunity working directly wit [...]"
1103,System Administrator,"CONSULTANT       Career Focus     Business Professional acutely focused on customer service and network building. Promptly develops vital relationships needed to operate and succeed in a sales field. Manager with expertise in delivering support services and resolving customer complaints. Over seven years of experience in Real estate development.  Also a quick study, with an ability to easily grasp and put into application new ideas, concepts, and technologies. Exceptional organizational, communication, interpersonal, analytical, and problem resolution skills. Thrive in both independent and collaborative work environments.  Proficient in the use of computer applications including MS Word, Excel, PowerPoint and Access, as well as AutoCAD and ACT.        Summary of Skills          Training and development  Employee relations  Compensation administration  Performance management strategies  Human resources audits  Maintains confidentiality  HRMS  National Human Resources Association      Homeowners insurance knowledge  Excellent communicator  Deadline-driven  Marketing and sales specialist  New program and promotion implementation  Procedure development  Human Resources Information Systems (HRIS)            Accomplishments     Experience includes over 1,000 physical property inspections.  Promoted to City Counsel liaison after fifteen months.       Professional Experience      Consultant     May 2011   to   Current      Company Name   －   City  ,   State    Maintain in-house clients, obtain customer referrals and continuously build relationships.  Recruited and interviewed 30-60 applicants per 30 days.  Customize Benefit plans for individuals and company employees based on their current health and financial needs, family history and budget.  Administer the following benefit programs: Medical, Dental, Life, Accident, Short and Long-Term Disability. Serve clients with supportive service.  Promoted agency products to customers in person, on the telephone and in writing.  Ex [...]","intrepid museum is now hiring system administrator in new york ny  view job listing details and apply now

the systems administrator is responsible for the daily operations of the it systems infrastructure and the management of the it servers and network this position is responsible for insuring that all it facilities computer systems and applications achieve and maintain a service level of  for the museum the systems administrator will adhere to all it policies and procedures and will work with the vp of it it manager and team members to develop maintain and adhere to pci gdpr ccpa it best practices and provide evidence for audit compliance the systems administrator will stay abreast of the latest it systems technology and serve as a trusted advisor to the vp of it and it manager and champion those business initiatives and goals presented by the museums departments

responsibilities include but are not limited to
 ensure that all it infrastructure computer operating systems and applications achieve and maintain a service level of  percent uptime availability annually
 maintain and verify that all network facilities and servers are maintained with the latest software updates patches and fixes required by the it vendors to maintain support
 maintain and verify that it software hardware and network facilities are maintained with the appropriate vendor maintenance and support required to ensure uptime availability at  percent
 escalate triage and handle service issues to msp as [...]"
1104,Talent Acquisition Manager,"CONSULTANT       Professional Summary     High-achieving management professional and effective consultant possessing excellent communication, organizational and analytical capabilities with about 4 years of experience in devising innovative strategies and solutions to resolve complex business challenges. Adept at managing projects, vendors, analyzing organizational operations, and performing customer journey, competitor and gap analysis.      High-achieving management professional and effective consultant with excellent communication, organizational and analytical capabilities and about 4 years of experience in devising innovative strategies and solutions to resolve complex business challenges. Adept at managing projects, vendors, analyzing organizational operations, and performing customer journey, competitor and gap analysis.       Skills          Strategy & Operations  Process Optimization  Digital Transformation      Cross Functional Team Management  Project/Product Management  Agile/Lean Methodologies            Work History      Consultant      Company Name   -   City  ,   State     06/2015   -   Current       American Global Computer Security Software Fortune 500 Company Managed and delivered a project to implement and integrate a new content management platform to create a unified brand experience, support scalability, growth and enhance digital presence for client's business - post acquisition Led cross-functional global teams consisting of technical, business and functional representatives and achieved key milestones on time with quality deliverables Prioritized, escalated and resolved issues with internal and external stakeholders Directly managed 3rd party vendor and offshore teams.  Client: American Consumer Food Products and Services Company Provided recommendations around User Centered Design and ADA compliance for E-Commerce Implementation project Performed Digital Conversion analysis using Google Analytics tool Performed User Acceptance Testing to p [...]","introduction

introduction to the job

the talent acquisition manager is responsible for talent acquisition delivery across one of asmls key sites located in san jose you will be leading the recruitment delivery for these high growth fast paced businessesyou willreport to the talent acquisition leader and be part of the us talent acquisition teamyou will coach and drive and team of recruiters and partner with hr business partners and business leaders to ensure consistent effective and efficient recruitment strategies designed to attract source and bring in top talent to meet business goals

as directed by the talent acquisition leader you will partner with employment branding for consistent corporate image throughout recruiting campaignsalign on annual workforce target and provide guidance to management on external talent marketas a successful talent acquisition expert you will use metrics and data to inform stakeholders on hiring trends turnover rates and candidate feedbackyou will implement hiring strategies built for growth and ensure a solid talent pipeline for each business group

role and responsibilities
 manage local business partnerrelationships and provide recruitment counsel and guidance to hiringmanagers to effectively deliver the most optimal recruiting solutions
 manage coach and develop ateam of talent acquisition partners ensuring delivery to hiring demand andcustomer expectations
 provide input into strategic recruitment plans for your business groups
 create [...]"
1105,Talent Acquisition Coordinator/ Technical Recruiter (100% Remote...,"SALES ASSOCIATE       Summary     SALES & BUSINESS DEVELOPMENT  Business development professional with 14 + years being successful at acquiring, expanding and managing key health care accounts in the HVAC construction industry. Well versed in building strategic partnerships through persuasion, negotiation and personal presence. Demonstrated passion for building relationships, cultivating partnerships and growing business.       Highlights          Excellent sales techniques  Excellent communicator  New program and promotion implementation  Consultative sales techniques  Cold calling         Adept multi-tasker    CRM system experience  Contract review  Strong proposal writer  Legal implications knowledge               Accomplishments      2005 Georgia Society for Health Care Engineers:  Vendor of the Year   2007 Georgia Society for Hospital Engineers:  Service Excellence Award   2008 Georgia Society for Hospital Engineers:  PJ Wise Award Recipient/Vendor of the Year   2009 Georgia Society for Health Care Engineers:  President's Award for Outstanding Service and Dedication   2010 Georgia Society for Hospital Engineers:  Certificate of Appreciation for Devotion and Commitment   2014 Georgia Society for Hospital Engineers: 50th Year Board Member Recognition.        Experience      Sales Associate     Aug 2012   to   Nov 2015      Company Name   -   City  ,   State     Health care mechanical contracting firm  Specializing in HVAC consultation, design, installation, process heating, cooling and piping.  Contacted new and existing customers to discuss how specific products and services could meet their needs.  Answered customer questions regarding products, prices and availability.  Concentrated on retrofit jobs sold directly to the owner.  Generated new accounts by implementing effective networking and content marketing strategies.  Identified, coordinated and participated in client relationship-building activities and meetings.  Developed a new customer base consisting o [...]","description our history from our start in  conexess has established itself in  markets employing nearly  individuals nationwide operating in over  states our client base ranges from fortune  companies to midsmall range companies for the majority of the midsmall range companies we are exclusively used due to our outstanding staffing track record

who we are conexess is a fullservice staffing firm offering contract contractto hire and direct placements we have a wide range of recruiting capabilities extending from help desk technicians to cios we are also capable of offering project based work

we are seeking multiple technical recruiters to join our client a global consulting firm as they are experiencing unprecedent growth the role offers long term job security and career growth in a globally recognized organization

the talent acquisition coordinator technical recruiter job responsibilities include but are not limited to
 plan and schedule inperson or phone interviews by contacting hiring managers interviewers and candidates schedule creation space procurement candidate travel collection of interviewer feedback etc
 work with recruiters on large interview days one off interviews and events as needed
 utilize webbased applicant tracking system to maintain candidate data and reporting
 assist with candidate expense reimbursement process
perform other various administrative responsibilities related to recruiting
 utilize effective communication and followthrough while acting as [...]"
1106,Contracting Project Management Intern,"HR VOLUNTEER ASST. MANAGER       Professional Summary     I am dedicated to every project I have worked on with strong undergraduate and graduate credentials including five years experience in Assisting Management of Human Resources. I look to expand my knowledge increasing chances of future career opportunities by completing a Doctorate in business program. Educating myself as a full time student puts me in the position to operate in industries such as Manufacturing, Government, and Healthcare, those industries alone would increase my earning potential. Being educated in these aspects of business will help me operate any organization as needed with my Masters Degree in Business Administration, along with being able to comprehend what is needed for the organization to succeed. My aspiration while completing this MBA program is helping me allow myself to work in top management positions along with allowing me to show the skills gained through education.       Skills           Human Resource Management    Product Design and Development    Strategic Warehouse Management    This is where I added to my knowledge of how to run an organization in an ethical manor making sure all aspects of being true to an organization, and making sure all policies and regulations are met within a timely manner making sure the organization does not have to suffer by paying unwanted fees taking them from the organizations cash flow. Knowing how to get any product or service to receiving location on time is another aspect of the key points learned during my undergrad education learning about Entrepreneurship.    Master of Business Administration | Grand Canyon University    Dates From (2016) - Current/ Expected graduation date (04-2018)    Key points of education:    Marketing Management    Economics    Leadership Organizations    Operations Management    Quantitative Methods    Managerial Accounting    Finance    Strategic Management    Extremely organized    Conflict resolution    Self-mot [...]","contracting project management intern
 requisition  
 attrane technologiestm and through our businesses includingtraneandthermo king we create innovative climate solutions for buildings homes and transportation that challenge whats possible for a sustainable world
 were a team that dares to look at the worlds challenges and see impactful possibilities
 we believe in a better future when we uplift others and enable our people to thrive at work and at home
 as a contracting project manager you will work on all aspects of construction projects from beginning to end with responsibility for project execution while working with a team to complete objectives in a given time frame and with available resources
 you will also be responsible for the administration implementation and management of projects and accountable for assigned scope of work schedule and budget
 in particular you will enable trane technologies to focus on solutions that provide our customers with the most energy efficient buildings
 in the trane technologies graduate training program gtp you will learn from experts in the field who are committed to preparing you for a rewarding career in contracting project management
 the gtp provides you with intensive technical business and leadership training with an emphasis on maintaining the highest ethical and professional standards
  attend lectures and technical presentations that are practical for this career
  hear about real world projects from trane technologies mana [...]"
1107,Business Development Associate,"BUSINESS DEVELOPMENT ASSOCIATE           Executive Profile     Award-winning sales executive with international sales experience.       Skill Highlights                      Professional Experience      Business Development Associate    January 2015   to   Current     Company Name   -   City  ,   State      Responsible for prospecting and developing relationships for unqualified, and qualified sales leads through Market Master, Sales Force, cold calls and networking.  Generated over 60 - 70 sales calls per day and distributed sales materials to the appropriate future clients.  Secured appointments for the District Mangers I am assigned to.  Built relationships with the District Managers and worked together in securing new leads and securing appointments with the proper contact before or after the client has been qualified and would assist in any way win the sale.          Managing Director    January 2000   to   January 2015     Company Name   -   City  ,   State      Marketing and Management Company for telemarketing firms and the hospitality\hotel industry.  Projects include, Accelerated Financial Center, LLC, M.R. Carter, LLC, The Ramada Inn, Stuart, FL, The Tourist Information Center of Martin County in Stuart, Florida.  With MRC, I contracted with MR Carter LLC, and Accelerated Financial Center, LLC.  Responsible for all telemarketing functions and sales, sales relationship building and administration for both million dollar company's which handled consumer credit card interest rate reductions under the Federal Credit Cart Act.  At the Ramada I was responsible for Guest Services, Group Sales, Conference Services and Catering and Restaurant Management for and Annual 4 million dollar budget.  I also instituted a program for cold calling and utilizing our CRS with the Ramada to prospect potential clients, sales promotion, and client relationship development.  This was all done also with a variety of marketing methods.  At the Information Center, I owned and manage [...]","care  is hiring licensed home care agency is looking to hire a full time business development associate to manage sale efforts and marketing campaigns for locations in bronx queens manhattan brooklyn and westchester this role will be focused on the rockland county area

responsibilities will include but are not limited to
 developing and executing a marketing plan to meet or exceed monthly quarterly and annual growth targets
 identifying evaluating and prioritizing potential referral sources within the agencys territory and surrounding area
 demonstrating a thorough and complete knowledge of the agency including our vision mission and values the services we provide and how we differentiate ourselves from other home care agencies
 establishing and maintaining professional relationships with all referral sources
 establishing and maintaining brand awareness through referral source contacts trade shows conferences and community education efforts
 representing the agency and its services in a professional competent and responsive manner
 attending monthly agency growth meetings

qualifications
 hard worker with positive attitude
 some previous office experiences
 strong written and verbal communication skills

benefits
 paid holidays off
 pto
 health insurance
 competitive salary and bonuses

looking for a hardworking and capable individual with strong interpersonal skills
 this opportunity comes with training and growth potential within the organization candidates should be hard [...]"
1108,"Commission Sales Associate - Men's, Full Time - Beverly Center","HEALTHCARE ASSOCIATE       Summary    Energetic, resourceful, and results-driven professional .Skilled at working effectively both independently and collaboratively as part of a team within fast-paced environments to complete projects and responsibilities while adhering to deadlines and quality standards.      Skills        EPIC, Microsoft Office Suite (Word/Excel/PowerPoint), Healthcare Systems, Insurance/Billing, Sorian Scheduling, Health/Medical Records, Research, Reports, Databases, Data Analysis, and PCs/Windows Applications            Experience     February 2002   to   Current     Company Name    City  ,   State    Healthcare Associate        Maintain full responsibility for demonstrating initiative, strong leadership and communication skills, and medical and healthcare knowledge to support efficient and productive day-to-day operations.  Directly accountable for a diversity of patient/unit support activities including scheduling and discharge, coordinating admission packages, arranging transportation, completing unit work orders, maintaining inventory, and preparing patient unit census.  Monitor and improve individual performance in all areas to ensure adherence to the highest levels of customer/patient service, productivity, efficiency, leadership, teamwork, and work quality at all times.                Excellent capacity to meet deadlines, build rapport with individuals from diverse backgrounds, and to support practice objectives by facilitating an environment that consistently achieves/exceeds expectations.  Responsible for maintaining professional and courteous communications, demeanor, and interactions with patients and medical staff while continuously seeking ways to provide value-added service and support.  Maintain files, documents, databases, and records to provide highly reliable information quickly and use well-developed interpersonal skills to respond effectively to both internal and external requests/inquires.  Communicate clearly and effectivel [...]","day medical dental vision benefits for eligible colleagues
 competitive pay
 paid time off
 flexible holiday timeoff  flexible scheduling
 fully funded education benefits  tuition coverage including books and fees
 instant access to earned wages with payactiv
 enhanced benefits pet home  auto insurance  more
 k plan options available
 bonus earning opportunities
 growth potential opportunities
 employee discount at bloomingdales  macys stores
a bloomingdales sales professionals primary role is to guide and inspire our customers to make style a source of creative energy in their lives with a passion for gracious service an interest in fashion styling talent and product knowledge proficiency they establish and cultivate long term client relationships both in store and online as a sales professional they deliver the bloomingdales customer experience through the art of conversation always being welcoming engaging and inquisitive creating that human connection that our customers are seeking when shopping in our stores sales professionals are responsible for actively circulating the sales floor determining the customers needs sharing the benefits of our loyalty programs and supporting the shopping experience from start to finish the bloomingdales sales professional must also deliver operational excellence by leveraging our fulfillment system merchandise to sell standards floor and fitting room upkeep
job essentials
 create an instore and online easy seamless and fun experience buil [...]"
1109,CNC Programmer Machinist,"CHEMICAL ENGINEERING INTERN       Objective Statement    To obtain employment as an entry level Chemical Engineer utilizing my current experience and education.      Competencies          Project management  Scheduling tools  ChemCad, OAM, MES and EPI  Structural red-line revisions skills  Advanced written and conversational German      Process piping  Microsoft Office  Quality control  Strong presentation skills  Process improvement            Experience     05/2017   to   Current     Chemical Engineering Intern    Company Name   －   City  ,   State     Intern at AkzoNobel, assigned to the Columbus,
Mississippi plant working 30-40 hours weekly in the Hydrogen Peroxide division.
Primary duties include observation of the different processes (hydrogenation, oxidation,
extraction, distillation, mixing, and loading of peroxide and its components). Updating
the OAM, MES, and OEE portals daily with information from the chief technician.
Gathering quotes and product specifications for my two assigned projects,
red-lining P&IDs in preparation for changes within the plant, and assisting
with any jobs that my supervisor needs done. Lead any Management of Change
meeting regarding my projects. Projects are as follows: 
-Replacing an automatic valve with a control valve on a
condensate tank; adding a differential pressure transmitter to control the tank level; installing an orifice plate in the pipe to control the
flow into the tank. Responsibilities included obtaining bids for mechanical
labor, electrical and instrumentation labor, and DCS configuration and quotes
for instrumentation. The scope of the project was $50,000.

- Installing an RF Capacitance probe on an existing sight
glass on a holding tank; replacing a chemical hose with a 316L stainless steel
pipe and installing a control valve in the pipe to control the interface level
within the sight glass. Responsibilities included obtaining bids for mechanical
labor, electrical and instrumentation labor, and DCS configuratio [...]","cnc programmer machinist

we are currently seeking a fulltime salaried cnc programmer machinist to join our team in our hawthorne ny  location

who we are

founded in  clarapaths mission is to transform the laboratory space and advance how hospitals provide laboratory care our company is strategically backed by one of the largest hospitals in the country as well as visionary pharmaceutical and academic leaders in collaboration with our partners we aim to improve patient care through our automated processing analysis and diagnostics technology

from our fully automated precision sectioning technology to worldclass imaging and analysis expertise our team is building a robotic system that will impact the future of digital pathology we offer challenging opportunities to join a uniquely innovative company that straddles the worlds of medical devices robotics industrial automation and technology

to learn more about us please visit us at

about the role

clarapath is looking for a cnc programmer machinist who has machine shop experience in a manufacturing environment skilled in the operation of a cnc mill cnc lathe manual equipment tools and measuring devices the cnc machinist will produce parts in a production and rd setting and will collaborate with engineers for dfma and optimal machining designs

what youll do

core duties and responsibilities include the following

program and operate cnc mill axis and cnc lathe for the manufacturing of  unique parts

operate any type and size [...]"
1110,Senior Statistical Programmer,"PRODUCTION CONTROL / SR. MERCHANDISER       Summary    Seeking fulltime/contract position where I can use my engineering, management background, Operation knowledge, merchandising and analytical skills at the most.      Skills          MS Excel: Pivot table, Hlook up; Vlookup, moderate macros, advanced functions.  Access, MS Word, MS PowerPoint, MS Outlook., SAP              Accomplishments      Taken training on different type of stitching machines like SNLS, DNLS, F-O-A, W/B attaching machine, 5-thread, 3-thread, bar tack, zigzag machine and many more.  Worked in washing dept.  PPC in washing department, and also handling production of washing dept.  with all type of washes like enzyme wash, DV, MV.  Achievements and Extra-Curricular Activities:.  Attended the course on ""Computer aided Textile Design"" By Canada-India Institute Industry Linkage Project at L.D.C.E, Ahmedabad.  Participated in ""LAA Teqnix"" 2006 At L.D.C.E.  Ahmedabad.  Participated in ""LAA Teqnix"" Tex Icon-Smarter 2005 At L.D.C.E.  Ahmedabad.        Experience      Production Control / Sr. Merchandiser     Sep 2009   to   Aug 2011      Company Name         Manufacturer & exporter of home textiles) Managed purchase order, pricing and production planning of assigned customers using SAP.  Implement and control production schedule.  Coordinated with planning team to review and procure materials to achieve manufacturing build requirements for multiple product lines, and worked with manufacturing, planning, and engineering departments to enable purchasing and acquire cost-effective inventories.  Completed data collection and analysis of the company s procurement and supply chain processes, offered recommendations using supply chain tools and performance metrics.  Analyze production and quality control to detect and correct problems.  Negotiated pricing and fabric requirements with international and domestic buyers as well as customers.  Coordinated to buyer for pricing ,approval, production time, shipment. [...]","be part of our empowered parexel statistical programming team today the senior statistical programmer with sdtm experience will contribute to meaningful advances that benefit patients in need

as a senior programmer you will be recognized as a subject matter expert providing technical support and expert advice to internal and external sponsors parexel will provide you with the perfect opportunity to expand on your experiences and develop new skills in a stimulating work environment

key responsibilities include not an exhaustive list of duties
 input into and negotiate statistical programming timelines
 ensure that timelines are adhered to coordinate and lead a statistical programming team to successful completion of a study within given timelines and budget
 monitor project resourcing project budgets and identify changes in scope
 ensure quality control qc on all process and technical activities related to derived dataset table listing and figure programming in accordance with corporate quality standards
 maintain all supporting documentation for studies in accordance with wsopsguidelines to ensure traceability and regulatory compliance
 provide a broad range of leadership and influencing capabilities to achieve the business objectives and goals for both parexel and sponsors
 provide leadership project specific training stakeholder management external sponsor support resource management and project management for the required programming tasks supporting clinical trial activ [...]"
