row_id,label
1101,0
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,0
1110,1
1111,0
1112,1
1113,1
1114,0
1115,0
1116,1
1117,1
1118,1
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,0
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,0
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,1
1163,0
1164,1
1165,0
1166,1
1167,0
1168,1
1169,1
1170,1
1171,1
1172,0
1173,0
1174,1
1175,1
1176,1
1177,0
1178,1
1179,1
1180,1
1181,0
1182,1
1183,1
1184,1
1185,1
1186,1
1187,0
1188,0
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,0
